account_id,true_group_id,true_relation_type,building_id,unit_id,noise_level,split
ACC-000001,REL-00001,household_signal,1,1,moderate,test
ACC-000002,REL-00001,household_signal,1,1,clean,test
ACC-000003,REL-00002,household_signal,1,2,moderate,test
ACC-000004,REL-00002,household_signal,1,2,heavy,test
ACC-000005,REL-00003,singleton,1,3,moderate,test
ACC-000006,REL-00004,household_signal,1,4,clean,test
ACC-000007,REL-00004,household_signal,1,4,heavy,test
ACC-000008,REL-00004,household_signal,1,4,heavy,test
ACC-000009,REL-00004,household_signal,1,4,heavy,test
ACC-000010,REL-00005,singleton,2,1,moderate,train
ACC-000011,REL-00006,singleton,2,2,clean,train
ACC-000012,REL-00007,singleton,2,3,moderate,train
ACC-000013,REL-00008,singleton,2,4,moderate,train
ACC-000014,REL-00009,singleton,3,1,clean,test
ACC-000015,REL-00010,household_signal,3,2,moderate,test
ACC-000016,REL-00010,household_signal,3,2,clean,test
ACC-000017,REL-00011,singleton,3,3,clean,test
ACC-000018,REL-00012,singleton,3,4,moderate,test
ACC-000019,REL-00013,household_signal,4,1,moderate,validation
ACC-000020,REL-00013,household_signal,4,1,moderate,validation
ACC-000021,REL-00013,household_signal,4,1,heavy,validation
ACC-000022,REL-00013,household_signal,4,1,heavy,validation
ACC-000023,REL-00014,singleton,4,2,moderate,validation
ACC-000024,REL-00015,household_signal,4,3,clean,validation
ACC-000025,REL-00015,household_signal,4,3,moderate,validation
ACC-000026,REL-00016,singleton,4,4,clean,validation
ACC-000027,REL-00017,singleton,5,1,clean,test
ACC-000028,REL-00018,singleton,5,2,moderate,test
ACC-000029,REL-00019,singleton,5,3,moderate,test
ACC-000030,REL-00020,singleton,5,4,clean,test
ACC-000031,REL-00021,singleton,6,1,clean,train
ACC-000032,REL-00022,singleton,6,2,heavy,train
ACC-000033,REL-00023,shared_location,6,3,heavy,train
ACC-000034,REL-00023,shared_location,6,3,moderate,train
ACC-000035,REL-00023,shared_location,6,3,moderate,train
ACC-000036,REL-00023,shared_location,6,3,moderate,train
ACC-000037,REL-00023,shared_location,6,3,clean,train
ACC-000038,REL-00023,shared_location,6,3,moderate,train
ACC-000039,REL-00024,singleton,6,4,heavy,train
ACC-000040,REL-00025,shared_residence,7,1,moderate,train
ACC-000041,REL-00025,shared_residence,7,1,clean,train
ACC-000042,REL-00026,singleton,7,2,moderate,train
ACC-000043,REL-00027,household_signal,7,3,heavy,train
ACC-000044,REL-00027,household_signal,7,3,moderate,train
ACC-000045,REL-00027,household_signal,7,3,moderate,train
ACC-000046,REL-00027,household_signal,7,3,heavy,train
ACC-000047,REL-00028,household_signal,7,4,moderate,train
ACC-000048,REL-00028,household_signal,7,4,clean,train
ACC-000049,REL-00029,household_signal,8,1,moderate,validation
ACC-000050,REL-00029,household_signal,8,1,heavy,validation
ACC-000051,REL-00029,household_signal,8,1,clean,validation
ACC-000052,REL-00029,household_signal,8,1,moderate,validation
ACC-000053,REL-00030,singleton,8,2,moderate,validation
ACC-000054,REL-00031,shared_residence,8,3,clean,validation
ACC-000055,REL-00031,shared_residence,8,3,clean,validation
ACC-000056,REL-00031,shared_residence,8,3,moderate,validation
ACC-000057,REL-00031,shared_residence,8,3,heavy,validation
ACC-000058,REL-00032,singleton,8,4,heavy,validation
ACC-000059,REL-00033,shared_residence,9,1,clean,validation
ACC-000060,REL-00033,shared_residence,9,1,heavy,validation
ACC-000061,REL-00034,singleton,9,2,moderate,validation
ACC-000062,REL-00035,shared_residence,9,3,clean,validation
ACC-000063,REL-00035,shared_residence,9,3,moderate,validation
ACC-000064,REL-00036,household_signal,9,4,heavy,validation
ACC-000065,REL-00036,household_signal,9,4,heavy,validation
ACC-000066,REL-00037,household_signal,10,1,heavy,validation
ACC-000067,REL-00037,household_signal,10,1,clean,validation
ACC-000068,REL-00038,singleton,10,2,moderate,validation
ACC-000069,REL-00039,singleton,10,3,clean,validation
ACC-000070,REL-00040,singleton,10,4,moderate,validation
ACC-000071,REL-00041,shared_residence,11,1,moderate,train
ACC-000072,REL-00041,shared_residence,11,1,moderate,train
ACC-000073,REL-00042,shared_residence,11,2,heavy,train
ACC-000074,REL-00042,shared_residence,11,2,heavy,train
ACC-000075,REL-00043,singleton,11,3,clean,train
ACC-000076,REL-00044,household_signal,11,4,heavy,train
ACC-000077,REL-00044,household_signal,11,4,moderate,train
ACC-000078,REL-00044,household_signal,11,4,moderate,train
ACC-000079,REL-00045,household_signal,12,1,clean,train
ACC-000080,REL-00045,household_signal,12,1,heavy,train
ACC-000081,REL-00046,singleton,12,2,clean,train
ACC-000082,REL-00047,singleton,12,3,clean,train
ACC-000083,REL-00048,singleton,12,4,clean,train
ACC-000084,REL-00049,household_signal,13,1,clean,test
ACC-000085,REL-00049,household_signal,13,1,moderate,test
ACC-000086,REL-00050,singleton,13,2,heavy,test
ACC-000087,REL-00051,shared_residence,13,3,moderate,test
ACC-000088,REL-00051,shared_residence,13,3,moderate,test
ACC-000089,REL-00052,household_signal,13,4,moderate,test
ACC-000090,REL-00052,household_signal,13,4,moderate,test
ACC-000091,REL-00053,singleton,14,1,moderate,test
ACC-000092,REL-00054,shared_location,14,2,moderate,test
ACC-000093,REL-00054,shared_location,14,2,moderate,test
ACC-000094,REL-00054,shared_location,14,2,heavy,test
ACC-000095,REL-00054,shared_location,14,2,heavy,test
ACC-000096,REL-00054,shared_location,14,2,clean,test
ACC-000097,REL-00054,shared_location,14,2,moderate,test
ACC-000098,REL-00055,singleton,14,3,heavy,test
ACC-000099,REL-00056,singleton,14,4,moderate,test
ACC-000100,REL-00057,shared_residence,15,1,heavy,train
ACC-000101,REL-00057,shared_residence,15,1,moderate,train
