blocking_strategy,block_key_hash,block_size,generated_pairs,block_decision
city_building,213054f240c0cc5e,8,28,accepted
city_building,ece0a0bcbb99905d,5,10,accepted
city_building,449182857c46be11,6,15,accepted
city_building,2ed9ddede48117f5,8,28,accepted
city_building,0b3a04f6bd53de00,4,6,accepted
city_building,f69acebac1b7933e,5,10,accepted
city_building,9386baf01fcff319,11,55,accepted
city_building,5d76ef5e2e66213b,6,15,accepted
city_building,2a93fb0a305d2743,7,21,accepted
city_building,60d9f90057cf58e8,7,21,accepted
city_building,f9006f525515510f,8,28,accepted
city_building,6fa4214d75d4ba1b,9,36,accepted
city_building,e9b72d0485a4c83c,7,21,accepted
city_building,5d512d4ee009a02e,9,36,accepted
city_building,814f3d6da0109bbe,9,36,accepted
city_building,13973d57c825bd3f,8,28,accepted
city_building,962afc248f325755,8,28,accepted
city_building,2d7316d136013f5a,6,15,accepted
city_building,4cc6c354b8ac70eb,5,10,accepted
city_building,f48140300cc9f295,6,15,accepted
city_building,124279e84c37c3d9,9,36,accepted
city_building,ce0412eb2cae4c57,6,15,accepted
city_building,02c73d34f4d1b52d,9,36,accepted
city_building,cbcb8159d522f21b,7,21,accepted
city_building,835454d336150b6d,11,55,accepted
city_building,751fbc4edd4f2ca6,6,15,accepted
city_building,9a51cc984eddfdf1,9,36,accepted
city_building,551a2af9ba0921ac,6,15,accepted
city_building,8e630504e235fe46,10,45,accepted
city_building,dce164f7377fe863,13,78,accepted
city_building,ae201fd1b5348601,4,6,accepted
city_building,7ccbe4f82918d659,5,10,accepted
city_building,b13bf3a9425fe093,7,21,accepted
city_building,82d36dc84ebabd38,10,45,accepted
city_building,a465005aded56fc3,5,10,accepted
city_building,6bbe2038f05436cd,11,55,accepted
city_building,4a92149e48ff05e5,7,21,accepted
city_building,bff18efe182b233e,10,45,accepted
city_building,c279f3bb5d0dcf8b,6,15,accepted
city_building,5a88eba2f348e252,11,55,accepted
city_building,c43e22e8836d7f9b,10,45,accepted
city_building,43ff533a782866ae,4,6,accepted
city_building,ae8cb97f4c2087fe,6,15,accepted
city_building,5c348275abfb4a24,8,28,accepted
city_building,0d5454aebe89f9f0,9,36,accepted
city_building,87b23e5c4bf2e159,11,55,accepted
city_building,f97fa93e3b5fa055,13,78,accepted
city_building,aa40d888712364b0,7,21,accepted
city_building,b15251ace1aea5cd,8,28,accepted
city_building,0b387d686a41c493,4,6,accepted
city_building,edc2060e6d294799,10,45,accepted
city_building,9c100381fad303cb,5,10,accepted
city_building,9ee96c8a77e39203,10,45,accepted
city_building,3ede5fd8c90ace00,12,66,accepted
city_building,5db912cc49d817ca,6,15,accepted
city_building,50af9a1084988eed,9,36,accepted
