threshold,max_component_size,component_precision,component_recall,component_f1,false_merges,false_splits,bcubed_precision,bcubed_recall,bcubed_f1,weighted_error_cost,deferred_edges,meets_precision_floor,selected
0.65,4,0.96,0.7032967032967034,0.8118393234672304,8,81,0.9797453703703705,0.8807870370370371,0.92763449686078,121.0,40,True,False
0.65,5,0.9631336405529954,0.7655677655677655,0.8530612244897958,8,64,0.9797453703703705,0.9004629629629629,0.9384326231433033,104.0,23,True,False
0.65,6,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.65,8,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.65,10,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.66,4,0.96,0.7032967032967034,0.8118393234672304,8,81,0.9797453703703705,0.8807870370370371,0.92763449686078,121.0,40,True,False
0.66,5,0.9631336405529954,0.7655677655677655,0.8530612244897958,8,64,0.9797453703703705,0.9004629629629629,0.9384326231433033,104.0,23,True,False
0.66,6,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.66,8,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.66,10,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.67,4,0.96,0.7032967032967034,0.8118393234672304,8,81,0.9797453703703705,0.8807870370370371,0.92763449686078,121.0,40,True,False
0.67,5,0.9631336405529954,0.7655677655677655,0.8530612244897958,8,64,0.9797453703703705,0.9004629629629629,0.9384326231433033,104.0,23,True,False
0.67,6,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.67,8,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.67,10,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.68,4,0.96,0.7032967032967034,0.8118393234672304,8,81,0.9797453703703705,0.8807870370370371,0.92763449686078,121.0,40,True,False
0.68,5,0.9631336405529954,0.7655677655677655,0.8530612244897958,8,64,0.9797453703703705,0.9004629629629629,0.9384326231433033,104.0,23,True,False
0.68,6,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.68,8,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.68,10,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.69,4,0.96,0.7032967032967034,0.8118393234672304,8,81,0.9797453703703705,0.8807870370370371,0.92763449686078,121.0,40,True,False
0.69,5,0.9631336405529954,0.7655677655677655,0.8530612244897958,8,64,0.9797453703703705,0.9004629629629629,0.9384326231433033,104.0,23,True,False
0.69,6,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.69,8,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.69,10,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.7,4,0.96,0.7032967032967034,0.8118393234672304,8,81,0.9797453703703705,0.8807870370370371,0.92763449686078,121.0,40,True,False
0.7,5,0.9631336405529954,0.7655677655677655,0.8530612244897958,8,64,0.9797453703703705,0.9004629629629629,0.9384326231433033,104.0,23,True,False
0.7,6,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.7,8,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.7,10,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.71,4,0.96,0.7032967032967034,0.8118393234672304,8,81,0.9797453703703705,0.8807870370370371,0.92763449686078,121.0,40,True,False
0.71,5,0.9631336405529954,0.7655677655677655,0.8530612244897958,8,64,0.9797453703703705,0.9004629629629629,0.9384326231433033,104.0,23,True,False
0.71,6,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.71,8,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.71,10,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.72,4,0.96,0.7032967032967034,0.8118393234672304,8,81,0.9797453703703705,0.8807870370370371,0.92763449686078,121.0,40,True,False
0.72,5,0.9631336405529954,0.7655677655677655,0.8530612244897958,8,64,0.9797453703703705,0.9004629629629629,0.9384326231433033,104.0,23,True,False
0.72,6,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.72,8,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.72,10,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.73,4,0.96,0.7032967032967034,0.8118393234672304,8,81,0.9797453703703705,0.8807870370370371,0.92763449686078,121.0,40,True,False
0.73,5,0.9631336405529954,0.7655677655677655,0.8530612244897958,8,64,0.9797453703703705,0.9004629629629629,0.9384326231433033,104.0,23,True,False
0.73,6,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.73,8,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.73,10,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.74,4,0.96,0.7032967032967034,0.8118393234672304,8,81,0.9797453703703705,0.8807870370370371,0.92763449686078,121.0,40,True,False
0.74,5,0.9631336405529954,0.7655677655677655,0.8530612244897958,8,64,0.9797453703703705,0.9004629629629629,0.9384326231433033,104.0,23,True,False
0.74,6,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.74,8,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.74,10,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.75,4,0.96,0.7032967032967034,0.8118393234672304,8,81,0.9797453703703705,0.8807870370370371,0.92763449686078,121.0,40,True,False
0.75,5,0.9631336405529954,0.7655677655677655,0.8530612244897958,8,64,0.9797453703703705,0.9004629629629629,0.9384326231433033,104.0,23,True,False
0.75,6,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.75,8,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.75,10,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.76,4,0.96,0.7032967032967034,0.8118393234672304,8,81,0.9797453703703705,0.8807870370370371,0.92763449686078,121.0,40,True,False
0.76,5,0.9631336405529954,0.7655677655677655,0.8530612244897958,8,64,0.9797453703703705,0.9004629629629629,0.9384326231433033,104.0,23,True,False
0.76,6,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.76,8,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.76,10,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.77,4,0.96,0.7032967032967034,0.8118393234672304,8,81,0.9797453703703705,0.8807870370370371,0.92763449686078,121.0,40,True,False
0.77,5,0.9631336405529954,0.7655677655677655,0.8530612244897958,8,64,0.9797453703703705,0.9004629629629629,0.9384326231433033,104.0,23,True,False
0.77,6,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.77,8,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.77,10,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.78,4,0.96,0.7032967032967034,0.8118393234672304,8,81,0.9797453703703705,0.8807870370370371,0.92763449686078,121.0,40,True,False
0.78,5,0.9631336405529954,0.7655677655677655,0.8530612244897958,8,64,0.9797453703703705,0.9004629629629629,0.9384326231433033,104.0,23,True,False
0.78,6,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.78,8,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.78,10,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.79,4,0.96,0.7032967032967034,0.8118393234672304,8,81,0.9797453703703705,0.8807870370370371,0.92763449686078,121.0,40,True,False
0.79,5,0.9631336405529954,0.7655677655677655,0.8530612244897958,8,64,0.9797453703703705,0.9004629629629629,0.9384326231433033,104.0,23,True,False
0.79,6,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.79,8,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.79,10,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.8,4,0.96,0.7032967032967034,0.8118393234672304,8,81,0.9797453703703705,0.8807870370370371,0.92763449686078,121.0,40,True,False
0.8,5,0.9631336405529954,0.7655677655677655,0.8530612244897958,8,64,0.9797453703703705,0.9004629629629629,0.9384326231433033,104.0,23,True,False
0.8,6,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.8,8,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.8,10,0.9666666666666667,0.8498168498168498,0.9044834307992202,8,41,0.9797453703703705,0.9270833333333334,0.9526871522508853,81.0,0,True,False
0.81,4,0.9639175257731959,0.684981684981685,0.8008565310492506,7,86,0.9832175925925927,0.8709490740740741,0.9236844424793084,121.0,40,True,False
0.81,5,0.9669811320754716,0.7509157509157509,0.845360824742268,7,68,0.9832175925925927,0.8917824074074076,0.935270561842707,103.0,22,True,False
0.81,6,0.9702127659574468,0.8351648351648352,0.8976377952755905,7,45,0.9832175925925927,0.9184027777777778,0.9497056113478056,80.0,0,True,False
0.81,8,0.9702127659574468,0.8351648351648352,0.8976377952755905,7,45,0.9832175925925927,0.9184027777777778,0.9497056113478056,80.0,0,True,False
0.81,10,0.9702127659574468,0.8351648351648352,0.8976377952755905,7,45,0.9832175925925927,0.9184027777777778,0.9497056113478056,80.0,0,True,False
0.82,4,0.9739583333333334,0.684981684981685,0.8043010752688172,5,86,0.9878472222222222,0.8709490740740741,0.9257223346478484,111.0,36,True,False
0.82,5,0.9757281553398058,0.7362637362637363,0.8392484342379959,5,72,0.9878472222222222,0.8871527777777778,0.9347961676954732,97.0,22,True,False
0.82,6,0.9781659388646288,0.8205128205128205,0.8924302788844621,5,49,0.9878472222222222,0.9137731481481483,0.9493674764996282,74.0,0,True,True
0.82,8,0.9781659388646288,0.8205128205128205,0.8924302788844621,5,49,0.9878472222222222,0.9137731481481483,0.9493674764996282,74.0,0,True,False
0.82,10,0.9781659388646288,0.8205128205128205,0.8924302788844621,5,49,0.9878472222222222,0.9137731481481483,0.9493674764996282,74.0,0,True,False
0.83,4,0.9738219895287958,0.6813186813186813,0.8017241379310345,5,87,0.9878472222222222,0.8674768518518519,0.9237573213419285,112.0,36,True,False
