account_id,predicted_group_id
ACC-000001,PRED-00001
ACC-000002,PRED-00001
ACC-000003,PRED-00002
ACC-000004,PRED-00002
ACC-000005,PRED-00003
ACC-000006,PRED-00004
ACC-000007,PRED-00004
ACC-000008,PRED-00005
ACC-000009,PRED-00004
ACC-000010,PRED-00006
ACC-000011,PRED-00007
ACC-000012,PRED-00008
ACC-000013,PRED-00009
ACC-000014,PRED-00010
ACC-000015,PRED-00011
ACC-000016,PRED-00011
ACC-000017,PRED-00012
ACC-000018,PRED-00013
ACC-000019,PRED-00014
ACC-000020,PRED-00014
ACC-000021,PRED-00014
ACC-000022,PRED-00015
ACC-000023,PRED-00015
ACC-000024,PRED-00016
ACC-000025,PRED-00016
ACC-000026,PRED-00017
ACC-000027,PRED-00018
ACC-000028,PRED-00019
ACC-000029,PRED-00020
ACC-000030,PRED-00021
ACC-000031,PRED-00022
ACC-000032,PRED-00023
ACC-000033,PRED-00024
ACC-000034,PRED-00025
ACC-000035,PRED-00025
ACC-000036,PRED-00025
ACC-000037,PRED-00025
ACC-000038,PRED-00025
ACC-000039,PRED-00026
ACC-000040,PRED-00027
ACC-000041,PRED-00027
ACC-000042,PRED-00028
ACC-000043,PRED-00029
ACC-000044,PRED-00029
ACC-000045,PRED-00029
ACC-000046,PRED-00029
ACC-000047,PRED-00030
ACC-000048,PRED-00030
ACC-000049,PRED-00031
ACC-000050,PRED-00031
ACC-000051,PRED-00031
ACC-000052,PRED-00031
ACC-000053,PRED-00032
ACC-000054,PRED-00033
ACC-000055,PRED-00033
ACC-000056,PRED-00033
ACC-000057,PRED-00034
ACC-000058,PRED-00035
ACC-000059,PRED-00036
ACC-000060,PRED-00036
ACC-000061,PRED-00037
ACC-000062,PRED-00038
ACC-000063,PRED-00038
ACC-000064,PRED-00039
ACC-000065,PRED-00039
ACC-000066,PRED-00040
ACC-000067,PRED-00041
ACC-000068,PRED-00042
ACC-000069,PRED-00043
ACC-000070,PRED-00044
ACC-000071,PRED-00045
ACC-000072,PRED-00045
ACC-000073,PRED-00046
ACC-000074,PRED-00046
ACC-000075,PRED-00047
ACC-000076,PRED-00048
ACC-000077,PRED-00048
ACC-000078,PRED-00048
ACC-000079,PRED-00049
ACC-000080,PRED-00049
ACC-000081,PRED-00050
ACC-000082,PRED-00051
ACC-000083,PRED-00052
ACC-000084,PRED-00053
ACC-000085,PRED-00053
ACC-000086,PRED-00054
ACC-000087,PRED-00055
ACC-000088,PRED-00055
ACC-000089,PRED-00056
ACC-000090,PRED-00056
ACC-000091,PRED-00057
ACC-000092,PRED-00058
ACC-000093,PRED-00058
ACC-000094,PRED-00059
ACC-000095,PRED-00058
ACC-000096,PRED-00058
ACC-000097,PRED-00058
ACC-000098,PRED-00060
ACC-000099,PRED-00061
ACC-000100,PRED-00062
ACC-000101,PRED-00062
ACC-000102,PRED-00062
ACC-000103,PRED-00063
ACC-000104,PRED-00064
ACC-000105,PRED-00065
ACC-000106,PRED-00064
ACC-000107,PRED-00064
ACC-000108,PRED-00064
ACC-000109,PRED-00064
ACC-000110,PRED-00066
ACC-000111,PRED-00066
ACC-000112,PRED-00066
ACC-000113,PRED-00067
ACC-000114,PRED-00068
ACC-000115,PRED-00069
ACC-000116,PRED-00069
ACC-000117,PRED-00069
ACC-000118,PRED-00069
ACC-000119,PRED-00069
ACC-000120,PRED-00070
ACC-000121,PRED-00071
ACC-000122,PRED-00071
ACC-000123,PRED-00072
ACC-000124,PRED-00073
ACC-000125,PRED-00073
ACC-000126,PRED-00074
ACC-000127,PRED-00074
ACC-000128,PRED-00075
ACC-000129,PRED-00075
ACC-000130,PRED-00075
ACC-000131,PRED-00076
ACC-000132,PRED-00077
ACC-000133,PRED-00078
ACC-000134,PRED-00077
ACC-000135,PRED-00079
ACC-000136,PRED-00080
ACC-000137,PRED-00080
ACC-000138,PRED-00080
ACC-000139,PRED-00081
ACC-000140,PRED-00082
ACC-000141,PRED-00083
ACC-000142,PRED-00083
ACC-000143,PRED-00083
ACC-000144,PRED-00084
ACC-000145,PRED-00085
ACC-000146,PRED-00085
ACC-000147,PRED-00086
ACC-000148,PRED-00087
ACC-000149,PRED-00088
ACC-000150,PRED-00089
ACC-000151,PRED-00090
ACC-000152,PRED-00090
ACC-000153,PRED-00091
ACC-000154,PRED-00091
ACC-000155,PRED-00092
